,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
425,1,0,26,,,2,200439,0,0,-3,3,75.9,0,4,2.3,2.8,5,Che,2.8,6,0,25.3,437,False,16.8,445,,,57,0,0,0,200439.jpg,2.5,0,0,Adams,0.6,False,,a,16,20,167.0,15,21724,2626,62706,3220,0.5,2.6,Adams,0
426,0,3,65,0.0,0.0,1,431131,0,0,-1,1,13.1,1,3,0.0,0.0,0,Moussa,4.0,0,2,16.9,438,False,92.0,123,Muscle injury - Unknown return date,2019-09-19T14:00:13.683201Z,54,0,0,0,431131.jpg,5.3,0,0,Djenepo,0.2,False,,i,16,20,63.0,16,17588,292,12924,4052,0.7,3.0,Djenepo,2
427,0,0,0,0.0,0.0,0,167075,0,0,-1,1,0.0,0,2,0.0,0.0,0,Wesley,0.0,0,0,0.0,485,False,0.0,0,Joined Antwerp on loan until the end of the season on 2/9. - Expected back 01 Jul,2019-09-02T23:30:15.561045Z,44,0,0,0,167075.jpg,0.0,0,0,Hoedt,0.1,False,,n,16,20,0.0,0,380,14,3259,220,0.0,0.0,Hoedt,0
428,0,0,53,,,1,58822,0,0,-1,1,55.6,0,2,1.7,2.2,1,Cédric,2.2,4,0,13.6,486,False,66.2,270,,,49,0,0,0,58822.jpg,3.0,0,0,Soares,0.3,False,,a,16,20,14.0,9,5590,475,10944,881,0.4,1.8,Cédric,0
429,2,0,55,,,1,128198,0,0,0,0,78.2,0,3,3.0,3.5,2,Sofiane,3.5,5,0,29.2,508,False,80.2,271,,,55,0,0,0,128198.jpg,3.0,0,0,Boufal,0.2,False,,a,16,20,134.0,15,10038,982,5413,1438,0.6,2.7,Boufal,0
430,1,0,33,100.0,100.0,1,135720,0,0,0,0,14.4,0,2,1.5,2.0,0,Kevin,2.0,3,0,5.0,532,False,34.8,207,,2019-08-31T13:30:13.818149Z,45,0,0,0,135720.jpg,2.7,1,0,Danso,0.0,False,,a,16,20,0.0,8,2208,98,1494,176,0.4,1.8,Danso,0
431,0,0,0,,,0,200088,0,0,0,0,0.0,0,4,-0.5,0.0,0,Daniel,0.0,0,0,0.0,535,False,0.0,0,,,45,0,0,0,200088.jpg,0.0,0,0,N'Lundulu,0.1,False,,a,16,20,0.0,0,5768,1202,2292,702,0.0,0.0,N'Lundulu,0
432,0,0,7,100.0,100.0,0,115556,0,0,0,0,1.6,0,2,1.0,1.0,0,Ben,0.5,0,0,1.1,329,False,5.8,16,,2019-07-31T00:00:11.457160Z,55,0,0,0,115556.jpg,1.0,0,0,Davies,0.2,False,,a,17,6,6.0,2,3850,430,7374,781,0.1,0.4,Davies,0
433,0,0,53,,,1,39194,0,0,-2,2,2.0,0,2,2.3,2.3,1,Jan,1.8,4,0,6.1,330,False,58.6,270,,,53,0,0,0,39194.jpg,2.3,0,0,Vertonghen,2.1,False,,a,17,6,0.0,7,37485,5280,131646,4873,0.3,1.3,Vertonghen,1
434,1,1,109,,,1,55605,0,0,0,0,45.6,1,2,4.0,4.0,1,Toby,3.5,8,0,20.2,331,False,144.8,540,,,55,0,0,0,55605.jpg,2.8,0,0,Alderweireld,7.2,False,,a,17,6,12.0,17,159388,24358,198829,16083,0.6,3.1,Alderweireld,0
435,0,0,82,,,1,38290,0,0,0,0,121.3,0,2,2.3,2.3,1,Danny,1.8,8,0,25.3,332,False,105.8,522,,,55,0,0,0,38290.jpg,1.7,0,0,Rose,2.5,False,,a,17,6,26.0,10,71487,6753,93736,7887,0.3,1.8,Rose,3
436,0,0,55,100.0,100.0,0,173904,0,0,-1,1,14.5,0,2,1.0,1.0,0,Davinson,0.5,6,0,10.4,333,False,67.0,360,,2019-09-12T12:30:16.170028Z,54,0,0,0,173904.jpg,1.2,0,0,Sánchez,1.0,False,,a,17,6,23.0,5,15433,978,41204,2943,0.1,0.9,Sánchez,1
437,0,0,0,0.0,0.0,0,77794,0,0,0,0,0.0,0,2,0.0,0.0,0,Kieran,0.0,0,0,0.0,334,False,0.0,0,Joined Atletico Madrid on a permanent deal on 17/7,2019-07-18T09:00:08.860585Z,55,0,0,0,77794.jpg,0.0,0,0,Trippier,0.2,False,,u,17,6,0.0,0,554,41,12974,298,0.0,0.0,Trippier,0
438,0,0,0,100.0,50.0,0,234908,0,0,-1,1,0.0,0,2,0.2,0.2,0,Juan,0.0,0,0,0.0,335,False,0.0,0,,2019-06-25T11:30:07.259817Z,49,0,0,0,234908.jpg,0.0,0,0,Foyth,0.0,False,,a,17,6,0.0,0,299,40,1048,56,0.0,0.0,Foyth,0
439,2,2,51,100.0,100.0,1,80226,1,-1,0,0,55.0,1,2,4.3,4.3,1,Serge,3.8,2,0,13.1,336,False,44.6,180,,2019-07-31T00:00:11.487644Z,50,0,0,0,80226.jpg,7.5,0,0,Aurier,2.8,False,,a,17,6,32.0,15,185916,74388,33041,7900,0.8,3.1,Aurier,0
440,0,0,44,100.0,100.0,0,158534,0,0,-1,1,42.5,0,2,1.0,1.0,0,Kyle,0.5,4,0,11.6,337,False,54.4,241,,2019-08-25T18:00:16.782378Z,49,0,0,0,158534.jpg,1.7,0,0,Walker-Peters,1.3,False,,a,17,6,18.0,5,87699,614,236268,11506,0.1,1.0,Walker-Peters,0
441,1,5,127,,,1,78830,0,0,0,0,61.4,1,4,5.7,5.7,8,Harry,5.2,8,4,47.5,338,False,178.6,534,,,110,0,0,0,78830.jpg,6.0,0,0,Kane,20.5,False,,a,17,6,236.0,36,593040,37060,1151820,46448,0.5,3.3,Kane,0
442,0,0,0,0.0,0.0,0,165990,0,0,0,0,0.0,0,4,0.0,0.0,0,Vincent,0.0,0,0,0.0,339,False,0.0,0,Joined Monterrey on a permanent deal on 23/7,2019-07-30T07:00:10.626522Z,45,0,0,0,165990.jpg,0.0,0,0,Janssen,0.1,False,,u,17,6,0.0,0,1773,63,6426,305,0.0,0.0,Janssen,0
